#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.0158 0 0 0 0 0
0.0316 0 0 0 0 0
0.0474 0 0 0 0 0
0.0632 0 0 0 0 0
0.079 0 0 0 0 0
0.0948 0.000255646 6.1628e-05 4.83538e-06 0.00564472 -0.00564463
0.1106 0.0383755 0.0107906 0.000917515 0.796862 -0.796681
0.1264 0.118356 0.038028 0.00352387 2.33792 -2.33697
0.1422 0.236294 0.085402 0.00861948 4.46535 -4.46282
0.158 0.382259 0.15349 0.0168152 6.90088 -6.89576
0.1738 0.588389 0.25987 0.0308098 10.2692 -10.2603
0.1896 0.824531 0.397252 0.0507472 13.9071 -13.8933
0.2054 1.09383 0.570894 0.0782614 17.8557 -17.8357
0.2212 1.41398 0.794755 0.116491 22.4663 -22.4391
0.237 1.7559 1.05744 0.165124 27.1825 -27.1471
0.2528 2.11114 1.35617 0.224868 31.8983 -31.8541
0.2686 2.45671 1.67687 0.294341 36.2792 -36.226
0.2844 2.70851 1.95757 0.362701 38.9893 -38.9281
0.3002 2.77765 2.11914 0.413329 38.7745 -38.708
0.316 2.64626 2.12521 0.435293 35.6521 -35.5842
0.3318 2.39629 2.02075 0.433731 31.1646 -31.0988
0.3476 2.06755 1.82667 0.410074 26.0044 -25.9439
0.3634 1.67908 1.55101 0.363535 20.4605 -20.4083
0.3792 1.25423 1.20907 0.295391 14.8348 -14.7933
0.395 0.846329 0.849975 0.216139 9.76789 -9.73822
0.4108 0.46432 0.485064 0.128204 5.24472 -5.22742
0.4266 0.148472 0.161109 0.0442015 1.64618 -1.64026
0.4424 0 0 0 0 0
0.4582 0 0 0 0 0
0.474 0 0 0 0 0
0.4898 0 0 0 0 0
0.5056 0 0 0 0 0
0.5214 0 0 0 0 0
0.5372 0 0 0 0 0
0.553 0 0 0 0 0
0.5688 0 0 0 0 0
0.5846 0 0 0 0 0
0.6004 0 0 0 0 0
0.6162 0 0 0 0 0
0.632 0 0 0 0 0
0.6478 0 0 0 0 0
0.6636 0 0 0 0 0
0.6794 0 0 0 0 0
0.6952 0 0 0 0 0
0.711 0 0 0 0 0
0.7268 0 0 0 0 0
0.7426 0 0 0 0 0
0.7584 0 0 0 0 0
0.7742 0 0 0 0 0
0.79 -nan -nan -nan -nan -nan
