#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0082 4.09363 4.43084
0.0164 8.11745 8.7651
0.0246 11.8252 12.7175
0.0328 14.9918 16.0316
0.041 18.4543 19.5923
0.0492 21.9501 23.0992
0.0574 25.5494 26.6087
0.0656 29.104 29.9481
0.0738 32.3142 32.7986
0.082 34.4657 34.446
0.0902 34.8578 34.2423
0.0984 33.3576 32.1496
0.1066 30.6169 28.8969
0.1148 27.2599 25.1471
0.123 23.4856 21.1333
0.1312 19.5124 17.0907
0.1394 15.6164 13.2846
0.1476 11.6098 9.56941
0.1558 7.66578 6.10699
0.164 4.50141 3.45638
0.1722 1.74118 1.28488
0.1804 0.0198397 0.014026
0.1886 0 0
0.1968 0 0
0.205 0 0
0.2132 0 0
0.2214 0 0
0.2296 0 0
0.2378 0 0
0.246 0 0
0.2542 0 0
0.2624 0 0
0.2706 0 0
0.2788 0 0
0.287 0 0
0.2952 0 0
0.3034 0 0
0.3116 0 0
0.3198 0 0
0.328 0 0
0.3362 0 0
0.3444 0 0
0.3526 0 0
0.3608 0 0
0.369 0 0
0.3772 0 0
0.3854 0 0
0.3936 0 0
0.4018 0 0
0.41 -nan -nan
