#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.012 0 0
0.024 0.0776831 0.177648
0.036 0.326651 0.740556
0.048 0.662298 1.48628
0.06 1.17612 2.61308
0.072 1.75308 3.84988
0.084 2.44314 5.29734
0.096 3.25448 6.96085
0.108 4.10559 8.6486
0.12 5.09961 10.5709
0.132 6.1371 12.5007
0.144 7.18819 14.3666
0.156 8.21939 16.0956
0.168 9.04278 17.3181
0.18 9.35983 17.4901
0.192 9.08085 16.5174
0.204 8.37042 14.7884
0.216 7.45881 12.7766
0.228 6.39012 10.5923
0.24 5.20944 8.33899
0.252 3.96213 6.11122
0.264 2.82908 4.19673
0.276 1.73482 2.46866
0.288 0.780404 1.06241
0.3 0.102518 0.133153
0.312 0 0
0.324 0 0
0.336 0 0
0.348 0 0
0.36 0 0
0.372 0 0
0.384 0 0
0.396 0 0
0.408 0 0
0.42 0 0
0.432 0 0
0.444 0 0
0.456 0 0
0.468 0 0
0.48 0 0
0.492 0 0
0.504 0 0
0.516 0 0
0.528 0 0
0.54 0 0
0.552 0 0
0.564 0 0
0.576 0 0
0.588 0 0
0.6 -nan -nan
