#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.016 0 0
0.032 0 0
0.048 0 0
0.064 0 0
0.08 0 0
0.096 0 0
0.112 0.0395266 0.15219
0.128 0.137499 0.518815
0.144 0.278234 1.0282
0.16 0.461107 1.66728
0.176 0.708779 2.50908
0.192 0.985402 3.40928
0.208 1.32055 4.46338
0.224 1.70618 5.62924
0.24 2.12515 6.83589
0.256 2.56855 8.0454
0.272 3.01623 9.18768
0.288 3.37494 9.97633
0.304 3.50525 10.025
0.32 3.36798 9.29127
0.336 3.07084 8.15408
0.352 2.66284 6.79232
0.368 2.19019 5.35692
0.384 1.68748 3.9506
0.4 1.17462 2.62675
0.416 0.678626 1.44611
0.432 0.251406 0.509193
0.448 0 0
0.464 0 0
0.48 0 0
0.496 0 0
0.512 0 0
0.528 0 0
0.544 0 0
0.56 0 0
0.576 0 0
0.592 0 0
0.608 0 0
0.624 0 0
0.64 0 0
0.656 0 0
0.672 0 0
0.688 0 0
0.704 0 0
0.72 0 0
0.736 0 0
0.752 0 0
0.768 0 0
0.784 0 0
0.8 -nan -nan
