#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0038 12.8491 3.46551
0.0076 25.701 6.89176
0.0114 38.5586 10.2395
0.0152 51.4245 13.4692
0.019 64.3017 16.5417
0.0228 77.193 19.417
0.0266 83.5944 20.602
0.0304 80.6763 19.5796
0.0342 76.3183 18.1813
0.038 70.4402 16.4173
0.0418 62.9481 14.3028
0.0456 53.733 11.8581
0.0494 42.6683 9.10926
0.0532 29.6082 6.08863
0.057 14.384 2.83584
0.0608 0 0
0.0646 0 0
0.0684 0 0
0.0722 0 0
0.076 0 0
0.0798 0 0
0.0836 0 0
0.0874 0 0
0.0912 0 0
0.095 0 0
0.0988 0 0
0.1026 0 0
0.1064 0 0
0.1102 0 0
0.114 0 0
0.1178 0 0
0.1216 0 0
0.1254 0 0
0.1292 0 0
0.133 0 0
0.1368 0 0
0.1406 0 0
0.1444 0 0
0.1482 0 0
0.152 0 0
0.1558 0 0
0.1596 0 0
0.1634 0 0
0.1672 0 0
0.171 0 0
0.1748 0 0
0.1786 0 0
0.1824 0 0
0.1862 0 0
0.19 -nan -nan
