#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0188 0 0
0.0376 0 0
0.0564 0 0
0.0752 0 0
0.094 0 0
0.1128 0 0
0.1316 0 0
0.1504 0 0
0.1692 0 0
0.188 0.0179728 0.090617
0.2068 0.0679111 0.33284
0.2256 0.143428 0.683373
0.2444 0.240432 1.11222
0.2632 0.380009 1.71
0.282 0.542898 2.37297
0.3008 0.732366 3.10642
0.3196 0.956663 3.93655
0.3384 1.20874 4.82127
0.3572 1.47451 5.69401
0.376 1.72419 6.43515
0.3948 1.86291 6.69752
0.4136 1.83886 6.34502
0.4324 1.69635 5.60326
0.4512 1.47776 4.66362
0.47 1.20607 3.6297
0.4888 0.907205 2.59921
0.5076 0.599646 1.63251
0.5264 0.304744 0.786495
0.5452 0.0715099 0.174547
0.564 0 0
0.5828 0 0
0.6016 0 0
0.6204 0 0
0.6392 0 0
0.658 0 0
0.6768 0 0
0.6956 0 0
0.7144 0 0
0.7332 0 0
0.752 0 0
0.7708 0 0
0.7896 0 0
0.8084 0 0
0.8272 0 0
0.846 0 0
0.8648 0 0
0.8836 0 0
0.9024 0 0
0.9212 0 0
0.94 -nan -nan
