#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0026 39.6242 5.19057
0.0052 77.3059 10.0814
0.0078 108.762 14.1271
0.0104 127.733 16.5916
0.013 137.686 17.8341
0.0156 138.084 17.8188
0.0182 134.583 17.1774
0.0208 127.36 15.9775
0.0234 116.405 14.2636
0.026 101.656 12.1006
0.0286 82.1075 9.47801
0.0312 62.2205 6.93971
0.0338 42.3499 4.54968
0.0364 27.0416 2.7608
0.039 12.9542 1.25259
0.0416 2.81876 0.255498
0.0442 0 0
0.0468 0 0
0.0494 0 0
0.052 0 0
0.0546 0 0
0.0572 0 0
0.0598 0 0
0.0624 0 0
0.065 0 0
0.0676 0 0
0.0702 0 0
0.0728 0 0
0.0754 0 0
0.078 0 0
0.0806 0 0
0.0832 0 0
0.0858 0 0
0.0884 0 0
0.091 0 0
0.0936 0 0
0.0962 0 0
0.0988 0 0
0.1014 0 0
0.104 0 0
0.1066 0 0
0.1092 0 0
0.1118 0 0
0.1144 0 0
0.117 0 0
0.1196 0 0
0.1222 0 0
0.1248 0 0
0.1274 0 0
0.13 -nan -nan
