#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0152 0 0
0.0304 0 0
0.0456 0 0
0.0608 0 0
0.076 0 0
0.0912 0 0
0.1064 0 0
0.1216 0.257727 0.890616
0.1368 0.84901 2.869
0.152 1.42461 4.70438
0.1672 1.98084 6.3874
0.1824 2.51311 7.90705
0.1976 3.01576 9.25045
0.2128 3.48185 10.4027
0.228 3.90288 11.3467
0.2432 4.26846 12.0628
0.2584 4.56591 12.5287
0.2736 4.77973 12.7189
0.2888 4.89101 12.6046
0.304 4.87656 12.1533
0.3192 4.70794 11.3285
0.3344 4.35016 10.0889
0.3496 3.75999 8.38864
0.3648 2.88385 6.17619
0.38 1.65503 3.39448
0.3952 0 0
0.4104 0 0
0.4256 0 0
0.4408 0 0
0.456 0 0
0.4712 0 0
0.4864 0 0
0.5016 0 0
0.5168 0 0
0.532 0 0
0.5472 0 0
0.5624 0 0
0.5776 0 0
0.5928 0 0
0.608 0 0
0.6232 0 0
0.6384 0 0
0.6536 0 0
0.6688 0 0
0.684 0 0
0.6992 0 0
0.7144 0 0
0.7296 0 0
0.7448 0 0
0.76 -nan -nan
