#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0192 0 0
0.0384 0 0
0.0576 0 0
0.0768 0 0
0.096 0 0
0.1152 0 0
0.1344 0 0
0.1536 0 0
0.1728 0 0
0.192 0 0
0.2112 0 0
0.2304 0 0
0.2496 0.177199 0.875485
0.2688 0.36152 1.72526
0.288 0.54539 2.51354
0.3072 0.726543 3.23277
0.3264 0.902109 3.87383
0.3456 1.06845 4.42581
0.3648 1.22097 4.8757
0.384 1.35383 5.20803
0.4032 1.45962 5.40452
0.4224 1.52894 5.44355
0.4416 1.54984 5.29963
0.4608 1.50702 4.94273
0.48 1.38094 4.33751
0.4992 1.14643 3.44243
0.5184 0.770995 2.20868
0.5376 0.21236 0.579037
0.5568 0 0
0.576 0 0
0.5952 0 0
0.6144 0 0
0.6336 0 0
0.6528 0 0
0.672 0 0
0.6912 0 0
0.7104 0 0
0.7296 0 0
0.7488 0 0
0.768 0 0
0.7872 0 0
0.8064 0 0
0.8256 0 0
0.8448 0 0
0.864 0 0
0.8832 0 0
0.9024 0 0
0.9216 0 0
0.9408 0 0
0.96 -nan -nan
