#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0142 0 0
0.0284 0 0
0.0426 0 0
0.0568 0 0
0.071 0 0
0.0852 0 0
0.0994 0.204499 0.627304
0.1136 0.807581 2.42943
0.1278 1.38914 4.09487
0.142 1.94582 5.61569
0.1562 2.47343 6.98264
0.1704 2.96684 8.18506
0.1846 3.41972 9.21073
0.1988 3.82439 10.0458
0.213 4.17153 10.6744
0.2272 4.44982 11.0789
0.2414 4.64556 11.2392
0.2556 4.74214 11.133
0.2698 4.71941 10.7354
0.284 4.55286 10.0184
0.2982 4.21265 8.95137
0.3124 3.66228 7.50012
0.3266 2.85698 5.62719
0.3408 1.7416 3.29151
0.355 0.247883 0.448376
0.3692 0 0
0.3834 0 0
0.3976 0 0
0.4118 0 0
0.426 0 0
0.4402 0 0
0.4544 0 0
0.4686 0 0
0.4828 0 0
0.497 0 0
0.5112 0 0
0.5254 0 0
0.5396 0 0
0.5538 0 0
0.568 0 0
0.5822 0 0
0.5964 0 0
0.6106 0 0
0.6248 0 0
0.639 0 0
0.6532 0 0
0.6674 0 0
0.6816 0 0
0.6958 0 0
0.71 -nan -nan
