#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0088 2.89312 3.59298
0.0176 5.67297 7.02733
0.0264 8.01686 9.88569
0.0352 10.5766 12.9638
0.044 13.1703 16.0207
0.0528 16.2243 19.5597
0.0616 19.2775 22.997
0.0704 22.36 26.3537
0.0792 25.3269 29.4445
0.088 27.9697 32.0215
0.0968 29.419 33.107
0.1056 29.3094 32.3609
0.1144 27.625 29.8679
0.1232 25.1243 26.5503
0.132 22.1603 22.8448
0.1408 18.8893 18.9579
0.1496 15.3791 14.995
0.1584 11.8621 11.2111
0.1672 8.62218 7.88059
0.176 5.42818 4.78553
0.1848 2.59763 2.20292
0.1936 0.579262 0.471154
0.2024 0 0
0.2112 0 0
0.22 0 0
0.2288 0 0
0.2376 0 0
0.2464 0 0
0.2552 0 0
0.264 0 0
0.2728 0 0
0.2816 0 0
0.2904 0 0
0.2992 0 0
0.308 0 0
0.3168 0 0
0.3256 0 0
0.3344 0 0
0.3432 0 0
0.352 0 0
0.3608 0 0
0.3696 0 0
0.3784 0 0
0.3872 0 0
0.396 0 0
0.4048 0 0
0.4136 0 0
0.4224 0 0
0.4312 0 0
0.44 -nan -nan
