#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.0076 7.89848 0.32578 0.249269 51.9801 -47.3635
0.0152 14.9857 1.23626 0.492363 98.5478 -89.7823
0.0228 18.2689 2.25988 0.631268 118.49 -107.87
0.0304 21.2442 3.50292 0.789167 135.938 -123.652
0.038 23.8867 4.92223 0.970574 150.835 -137.081
0.0456 26.1699 6.47029 1.17785 163.116 -148.1
0.0532 28.0654 8.0947 1.41093 172.707 -156.647
0.0608 29.5426 9.7378 1.66705 179.522 -162.648
0.0684 30.5688 11.336 1.94039 183.467 -166.025
0.076 31.1084 12.8193 2.2217 184.433 -166.688
0.0836 31.123 14.1102 2.49784 182.301 -164.539
0.0912 30.5707 15.1235 2.75134 176.939 -159.47
0.0988 29.4062 15.7646 2.95972 168.202 -151.363
0.1064 27.5801 15.9292 3.09492 155.926 -140.086
0.114 25.0388 15.5016 3.12249 139.934 -125.5
0.1216 21.7237 14.3538 3.00075 120.031 -107.449
0.1292 17.5713 12.3438 2.67975 96.0014 -85.7666
0.1368 12.5124 9.31393 2.10015 67.6074 -60.2709
0.1444 6.47174 5.08945 1.19189 34.5886 -30.7646
0.152 0 0 0 0 0
0.1596 0 0 0 0 0
0.1672 0 0 0 0 0
0.1748 0 0 0 0 0
0.1824 0 0 0 0 0
0.19 0 0 0 0 0
0.1976 0 0 0 0 0
0.2052 0 0 0 0 0
0.2128 0 0 0 0 0
0.2204 0 0 0 0 0
0.228 0 0 0 0 0
0.2356 0 0 0 0 0
0.2432 0 0 0 0 0
0.2508 0 0 0 0 0
0.2584 0 0 0 0 0
0.266 0 0 0 0 0
0.2736 0 0 0 0 0
0.2812 0 0 0 0 0
0.2888 0 0 0 0 0
0.2964 0 0 0 0 0
0.304 0 0 0 0 0
0.3116 0 0 0 0 0
0.3192 0 0 0 0 0
0.3268 0 0 0 0 0
0.3344 0 0 0 0 0
0.342 0 0 0 0 0
0.3496 0 0 0 0 0
0.3572 0 0 0 0 0
0.3648 0 0 0 0 0
0.3724 0 0 0 0 0
0.38 -nan -nan -nan -nan -nan
