#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0076 4.07047 3.80497
0.0152 7.9619 7.42526
0.0228 12.0219 11.1672
0.0304 15.6008 14.4122
0.038 18.6403 17.0992
0.0456 21.8258 19.8479
0.0532 24.9121 22.4207
0.0608 27.8056 24.7243
0.0684 30.0096 26.3186
0.076 30.764 26.5657
0.0836 29.9119 25.389
0.0912 27.7307 23.0945
0.0988 24.9448 20.3443
0.1064 21.7869 17.366
0.114 18.4788 14.3648
0.1216 15.0545 11.3881
0.1292 11.4792 8.43071
0.1368 8.36537 5.94919
0.1444 5.42004 3.72268
0.152 2.78259 1.84064
0.1596 0.842453 0.534968
0.1672 0 0
0.1748 0 0
0.1824 0 0
0.19 0 0
0.1976 0 0
0.2052 0 0
0.2128 0 0
0.2204 0 0
0.228 0 0
0.2356 0 0
0.2432 0 0
0.2508 0 0
0.2584 0 0
0.266 0 0
0.2736 0 0
0.2812 0 0
0.2888 0 0
0.2964 0 0
0.304 0 0
0.3116 0 0
0.3192 0 0
0.3268 0 0
0.3344 0 0
0.342 0 0
0.3496 0 0
0.3572 0 0
0.3648 0 0
0.3724 0 0
0.38 -nan -nan
