#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0096 1.18294 1.7414
0.0192 2.37326 3.48303
0.0288 3.47237 5.06893
0.0384 4.79037 6.94668
0.048 6.28051 9.03541
0.0576 7.83772 11.1692
0.0672 9.65183 13.6078
0.0768 11.4883 15.9995
0.0864 13.3558 18.3461
0.096 15.1663 20.516
0.1056 16.7609 22.291
0.1152 17.6 22.9681
0.1248 17.4718 22.3287
0.1344 16.3956 20.4779
0.144 14.8681 18.1147
0.1536 13.0471 15.4765
0.1632 11.0704 12.7598
0.1728 8.9893 10.0466
0.1824 6.80923 7.36211
0.192 4.84348 5.05481
0.2016 3.03525 3.04985
0.2112 1.44259 1.39173
0.2208 0.296868 0.274182
0.2304 0 0
0.24 0 0
0.2496 0 0
0.2592 0 0
0.2688 0 0
0.2784 0 0
0.288 0 0
0.2976 0 0
0.3072 0 0
0.3168 0 0
0.3264 0 0
0.336 0 0
0.3456 0 0
0.3552 0 0
0.3648 0 0
0.3744 0 0
0.384 0 0
0.3936 0 0
0.4032 0 0
0.4128 0 0
0.4224 0 0
0.432 0 0
0.4416 0 0
0.4512 0 0
0.4608 0 0
0.4704 0 0
0.48 -nan -nan
