#w[GeV] R_00[GeV^-1] R_0z[GeV^-1] R_zz[GeV^-1] R_xx[GeV^-1] R_xy[GeV^-1]
0 0 0 0 0 0
0.0188 0 0 0 0 0
0.0376 0 0 0 0 0
0.0564 0 0 0 0 0
0.0752 0 0 0 0 0
0.094 0 0 0 0 0
0.1128 0 0 0 0 0
0.1316 0 0 0 0 0
0.1504 0 0 0 0 0
0.1692 0 0 0 0 0
0.188 0.00703812 0.00282305 0.000301818 0.204338 -0.203969
0.2068 0.0480934 0.0212164 0.00245952 1.29238 -1.28999
0.2256 0.117931 0.056748 0.00710411 2.9634 -2.95786
0.2444 0.212302 0.110661 0.0148943 5.00051 -4.99108
0.2632 0.349045 0.195923 0.0282468 7.83466 -7.82012
0.282 0.514026 0.309126 0.0475524 11.022 -11.002
0.3008 0.707573 0.453877 0.0742313 14.5406 -14.515
0.3196 0.933211 0.636024 0.110243 18.4857 -18.4547
0.3384 1.18615 0.855975 0.156783 22.763 -22.7272
0.3572 1.44731 1.1025 0.212815 26.977 -26.9379
0.376 1.68807 1.35362 0.27468 30.5985 -30.5583
0.3948 1.82353 1.5354 0.32676 31.9653 -31.9271
0.4136 1.80524 1.59242 0.354653 30.4041 -30.3707
0.4324 1.66781 1.5381 0.357799 26.9563 -26.9292
0.4512 1.44877 1.39424 0.338187 22.5246 -22.5042
0.47 1.17143 1.17439 0.296554 17.5815 -17.5675
0.4888 0.863685 0.900581 0.236409 12.5815 -12.5731
0.5076 0.54925 0.594814 0.162103 7.81343 -7.80933
0.5264 0.255876 0.287412 0.0812167 3.57597 -3.57463
0.5452 0.0374435 0.0435694 0.0127515 0.517782 -0.517668
0.564 0 0 0 0 0
0.5828 0 0 0 0 0
0.6016 0 0 0 0 0
0.6204 0 0 0 0 0
0.6392 0 0 0 0 0
0.658 0 0 0 0 0
0.6768 0 0 0 0 0
0.6956 0 0 0 0 0
0.7144 0 0 0 0 0
0.7332 0 0 0 0 0
0.752 0 0 0 0 0
0.7708 0 0 0 0 0
0.7896 0 0 0 0 0
0.8084 0 0 0 0 0
0.8272 0 0 0 0 0
0.846 0 0 0 0 0
0.8648 0 0 0 0 0
0.8836 0 0 0 0 0
0.9024 0 0 0 0 0
0.9212 0 0 0 0 0
0.94 -nan -nan -nan -nan -nan
