#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 0 0
0.0204 0 0
0.0408 0 0
0.0612 0 0
0.0816 0 0
0.102 0 0
0.1224 0 0
0.1428 0 0
0.1632 0 0
0.1836 0 0
0.204 0 0
0.2244 0 0
0.2448 0 0
0.2652 0 0
0.2856 0.114602 0.622757
0.306 0.258116 1.34999
0.3264 0.402852 2.02798
0.3468 0.54691 2.64972
0.3672 0.687849 3.20665
0.3876 0.822532 3.68843
0.408 0.946925 4.08258
0.4284 1.05585 4.37413
0.4488 1.14264 4.54513
0.4692 1.19873 4.57413
0.4896 1.21305 4.43552
0.51 1.17129 4.09875
0.5304 1.05486 3.52738
0.5508 0.839547 2.67798
0.5712 0.493594 1.49881
0.5916 0 0
0.612 0 0
0.6324 0 0
0.6528 0 0
0.6732 0 0
0.6936 0 0
0.714 0 0
0.7344 0 0
0.7548 0 0
0.7752 0 0
0.7956 0 0
0.816 0 0
0.8364 0 0
0.8568 0 0
0.8772 0 0
0.8976 0 0
0.918 0 0
0.9384 0 0
0.9588 0 0
0.9792 0 0
0.9996 0 0
1.02 -nan -nan
