#w[GeV] R_L[GeV^-1] R_T[GeV^-1]
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
0 -nan -nan
